cu-75%sn.500rpm-1-1451-1_1.ras,,,
X,Y,,
5,2280,,
5.01,2280,,
5.02,2310,,
5.03,2320,,
5.04,2190,,
5.05,2240,,
5.06,2390,,
5.07,2450,,
5.08,2410,,
5.09,2320,,
5.1,2300,,
5.11,2260,,
5.12,2210,,
5.13,2170,,
5.14,2110,,
5.15,2200,,
5.16,2280,,
5.17,2290,,
5.18,2300,,
5.19,2300,,
5.2,2280,,
5.21,2280,,
5.22,2310,,
5.23,2330,,
5.24,2350,,
5.25,2450,,
5.26,2500,,
5.27,2340,,
5.28,2240,,
5.29,2250,,
5.3,2220,,
5.31,2260,,
5.32,2250,,
5.33,2250,,
5.34,2160,,
5.35,2130,,
5.36,2220,,
5.37,2170,,
5.38,2160,,
5.39,2220,,
5.4,2150,,
5.41,2060,,
5.42,2110,,
5.43,2140,,
5.44,2220,,
5.45,2310,,
5.46,2250,,
5.47,2210,,
5.48,2150,,
5.49,2180,,
5.5,2280,,
5.51,2320,,
5.52,2400,,
5.53,2290,,
5.54,2130,,
5.55,2240,,
5.56,2460,,
5.57,2390,,
5.58,2180,,
5.59,2180,,
5.6,2340,,
5.61,2300,,
5.62,2180,,
5.63,2180,,
5.64,2290,,
5.65,2390,,
5.66,2290,,
5.67,2250,,
5.68,2290,,
5.69,2160,,
5.7,2190,,
5.71,2230,,
5.72,2230,,
5.73,2410,,
5.74,2520,,
5.75,2320,,
5.76,2140,,
5.77,2250,,
5.78,2370,,
5.79,2390,,
5.8,2300,,
5.81,2260,,
5.82,2320,,
5.83,2350,,
5.84,2300,,
5.85,2260,,
5.86,2330,,
5.87,2310,,
5.88,2210,,
5.89,2280,,
5.9,2410,,
5.91,2360,,
5.92,2240,,
5.93,2280,,
5.94,2370,,
5.95,2470,,
5.96,2270,,
5.97,2230,,
5.98,2320,,
5.99,2290,,
6,2330,,
6.01,2320,,
6.02,2270,,
6.03,2260,,
6.04,2090,,
6.05,2090,,
6.06,2160,,
6.07,2130,,
6.08,2230,,
6.09,2270,,
6.1,2120,,
6.11,2150,,
6.12,2300,,
6.13,2230,,
6.14,2260,,
6.15,2240,,
6.16,2160,,
6.17,2270,,
6.18,2310,,
6.19,2280,,
6.2,2210,,
6.21,2170,,
6.22,2060,,
6.23,2070,,
6.24,2250,,
